Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
2.7590          -17.385      -21.158        3.773   304.1
2.7600          -17.352      -21.216        3.865   311.4
2.7610          -17.423      -21.271        3.848   310.1
2.7620          -17.455      -21.316        3.861   311.1
2.7630          -17.478      -21.351        3.872   312.1
2.7640          -17.385      -21.395        4.010   323.1
2.7650          -17.439      -21.429        3.991   321.6
2.7660          -17.380      -21.444        4.063   327.5
2.7670          -17.449      -21.439        3.990   321.5
2.7680          -17.434      -21.434        4.000   322.4
2.7690          -17.476      -21.412        3.937   317.2
2.7700          -17.457      -21.369        3.911   315.2
2.7710          -17.471      -21.306        3.835   309.0
2.7720          -17.564      -21.247        3.683   296.8
2.7730          -17.556      -21.222        3.665   295.4
2.7740          -17.531      -21.211        3.680   296.5
2.7750          -17.502      -21.185        3.683   296.8
2.7760          -17.513      -21.152        3.639   293.2
2.7770          -17.496      -21.105        3.608   290.8
2.7780          -17.562      -21.072        3.510   282.9
2.7790          -17.756      -21.058        3.302   266.1
2.7800          -17.839      -21.033        3.194   257.4
2.7810          -17.803      -21.024        3.221   259.5
2.7820          -17.795      -21.029        3.234   260.6
2.7830          -17.774      -21.045        3.271   263.6
2.7840          -17.735      -21.071        3.336   268.9
2.7850          -17.755      -21.117        3.362   271.0
2.7860          -17.659      -21.172        3.513   283.1
2.7870          -17.709      -21.218        3.508   282.7
2.7880          -17.613      -21.263        3.650   294.2
2.7890          -17.644      -21.294        3.650   294.2
2.7900          -17.565      -21.337        3.771   303.9
2.7910          -17.636      -21.379        3.743   301.6
2.7920          -17.581      -21.426        3.845   309.9
2.7930          -17.618      -21.456        3.838   309.3
2.7940          -17.548      -21.485        3.937   317.3
2.7950          -17.465      -21.492        4.027   324.5
2.7960          -17.493      -21.502        4.009   323.1
2.7970          -17.577      -21.497        3.920   315.9
2.7980          -17.669      -21.471        3.802   306.4
2.7990          -17.634      -21.460        3.826   308.4
2.8000          -17.627      -21.428        3.802   306.4
2.8010          -17.534      -21.402        3.868   311.7
2.8020          -17.552      -21.369        3.817   307.6
2.8030          -17.577      -21.348        3.771   303.9
2.8040          -17.737      -21.314        3.577   288.3
2.8050          -17.768      -21.281        3.513   283.1
2.8060          -17.869      -21.258        3.389   273.1
2.8070          -17.876      -21.235        3.359   270.7
2.8080          -17.917      -21.236        3.320   267.5
2.8090          -18.008      -21.259        3.250   261.9
2.8100          -18.066      -21.289        3.223   259.7
2.8110          -18.158      -21.323        3.165   255.0
2.8120          -18.239      -21.382        3.143   253.3
2.8130          -18.235      -21.462        3.227   260.0
2.8140          -18.336      -21.541        3.205   258.3
2.8150          -18.351      -21.626        3.275   263.9
2.8160          -18.298      -21.713        3.415   275.2
2.8170          -18.301      -21.784        3.482   280.6
2.8180          -18.334      -21.870        3.536   285.0
2.8190          -18.348      -21.950        3.601   290.2
2.8200          -18.284      -22.013        3.729   300.5
2.8210          -18.280      -22.046        3.766   303.5
2.8220          -18.313      -22.071        3.759   302.9
2.8230          -18.327      -22.089        3.762   303.2
2.8240          -18.348      -22.091        3.744   301.7
2.8250          -18.274      -22.082        3.808   306.9
2.8260          -18.302      -22.063        3.762   303.1
2.8270          -18.185      -22.033        3.848   310.1
2.8280          -18.131      -22.000        3.869   311.8
2.8290          -18.263      -21.979        3.716   299.4
2.8300          -18.214      -21.990        3.776   304.3
2.8310          -18.203      -21.976        3.773   304.1
2.8320          -18.138      -21.958        3.820   307.8
2.8330          -18.208      -21.931        3.723   300.0
2.8340          -18.336      -21.928        3.593   289.5
2.8350          -18.444      -21.937        3.493   281.5
2.8360          -18.498      -21.958        3.460   278.8
2.8370          -18.446      -21.987        3.541   285.4
2.8380          -18.547      -22.004        3.457   278.6
2.8390          -18.452      -22.013        3.561   287.0
2.8400          -18.411      -22.024        3.613   291.2
2.8410          -18.343      -22.033        3.690   297.4
2.8420          -18.327      -22.030        3.703   298.4
2.8430          -18.334      -22.005        3.671   295.8
2.8440          -18.290      -21.993        3.704   298.5
2.8450          -18.318      -21.983        3.666   295.4
2.8460          -18.386      -21.951        3.565   287.3
2.8470          -18.422      -21.910        3.488   281.1
2.8480          -18.437      -21.871        3.434   276.8
2.8490          -18.467      -21.830        3.363   271.0
2.8500          -18.494      -21.777        3.283   264.6
2.8510          -18.435      -21.732        3.298   265.7
2.8520          -18.416      -21.704        3.289   265.0
2.8530          -18.398      -21.708        3.310   266.7
2.8540          -18.354      -21.694        3.340   269.2
2.8550          -18.329      -21.697        3.368   271.4
2.8560          -18.282      -21.713        3.430   276.4
2.8570          -18.352      -21.731        3.379   272.3
2.8580          -18.323      -21.765        3.442   277.4
2.8590          -18.278      -21.784        3.506   282.5
2.8600          -18.138      -21.803        3.665   295.4
2.8610          -18.118      -21.830        3.712   299.1
2.8620          -18.155      -21.860        3.705   298.6
2.8630          -18.009      -21.876        3.866   311.6
2.8640          -17.906      -21.859        3.953   318.5
2.8650          -17.886      -21.846        3.960   319.1
2.8660          -17.842      -21.831        3.989   321.5
2.8670          -17.833      -21.801        3.968   319.8
2.8680          -17.839      -21.774        3.935   317.1
2.8690          -17.929      -21.749        3.821   307.9
2.8700          -17.981      -21.736        3.754   302.6
2.8710          -18.022      -21.731        3.709   298.9
2.8720          -18.012      -21.708        3.696   297.8
2.8730          -17.992      -21.676        3.684   296.9
2.8740          -18.005      -21.650        3.645   293.7
2.8750          -17.980      -21.631        3.651   294.3
2.8760          -18.002      -21.617        3.615   291.3
2.8770          -18.023      -21.614        3.591   289.4
2.8780          -18.056      -21.601        3.544   285.6
2.8790          -18.071      -21.599        3.529   284.4
2.8800          -18.008      -21.632        3.624   292.1
2.8810          -17.939      -21.672        3.733   300.8
2.8820          -17.945      -21.701        3.756   302.7
2.8830          -18.053      -21.734        3.682   296.7
2.8840          -18.031      -21.774        3.742   301.6
2.8850          -18.061      -21.808        3.747   302.0
2.8860          -17.994      -21.824        3.830   308.7
2.8870          -17.872      -21.833        3.961   319.2
2.8880          -17.812      -21.834        4.022   324.1
2.8890          -17.823      -21.827        4.004   322.7
2.8900          -17.777      -21.805        4.028   324.6
2.8910          -17.683      -21.782        4.099   330.3
2.8920          -17.730      -21.760        4.030   324.8
2.8930          -17.754      -21.737        3.983   321.0
2.8940          -17.747      -21.711        3.965   319.5
2.8950          -17.769      -21.676        3.907   314.9
2.8960          -17.722      -21.612        3.890   313.5
2.8970          -17.717      -21.541        3.824   308.2
2.8980          -17.673      -21.498        3.824   308.2
2.8990          -17.820      -21.477        3.657   294.7
2.9000          -17.852      -21.457        3.605   290.5
2.9010          -17.836      -21.430        3.594   289.7
2.9020          -17.818      -21.392        3.574   288.0
2.9030          -17.720      -21.378        3.658   294.8
2.9040          -17.785      -21.394        3.609   290.8
2.9050          -17.834      -21.410        3.576   288.2
2.9060          -17.831      -21.424        3.592   289.5
2.9070          -17.770      -21.434        3.664   295.3
2.9080          -17.741      -21.459        3.718   299.6
2.9090          -17.745      -21.496        3.750   302.2
2.9100          -17.795      -21.524        3.729   300.5
2.9110          -17.702      -21.532        3.830   308.6
2.9120          -17.604      -21.539        3.935   317.1
2.9130          -17.585      -21.520        3.935   317.1
2.9140          -17.620      -21.487        3.867   311.6
2.9150          -17.541      -21.458        3.917   315.7
2.9160          -17.582      -21.460        3.878   312.5
2.9170          -17.566      -21.465        3.899   314.2
2.9180          -17.681      -21.464        3.783   304.9
2.9190          -17.675      -21.448        3.773   304.0
2.9200          -17.804      -21.428        3.624   292.0
2.9210          -17.823      -21.429        3.606   290.6
2.9220          -17.753      -21.421        3.668   295.6
2.9230          -17.856      -21.404        3.548   285.9
2.9240          -17.900      -21.370        3.470   279.6
2.9250          -17.910      -21.353        3.443   277.4
2.9260          -17.854      -21.331        3.477   280.2
2.9270          -17.804      -21.316        3.512   283.0
2.9280          -17.915      -21.322        3.407   274.5
2.9290          -17.867      -21.327        3.460   278.8
2.9300          -17.865      -21.345        3.480   280.5
2.9310          -17.865      -21.375        3.510   282.9
2.9320          -17.852      -21.418        3.566   287.4
2.9330          -17.909      -21.483        3.573   288.0
2.9340          -17.973      -21.523        3.551   286.1
2.9350          -17.997      -21.564        3.567   287.4
2.9360          -17.922      -21.615        3.693   297.6
2.9370          -18.090      -21.689        3.598   290.0
2.9380          -18.006      -21.748        3.742   301.5
2.9390          -18.024      -21.807        3.782   304.8
2.9400          -17.966      -21.862        3.896   314.0
2.9410          -17.988      -21.915        3.927   316.5
2.9420          -18.047      -21.959        3.912   315.3
2.9430          -18.214      -21.976        3.762   303.2
2.9440          -18.248      -21.993        3.745   301.8
2.9450          -18.237      -22.005        3.769   303.7
2.9460          -18.323      -22.031        3.708   298.8
2.9470          -18.335      -22.050        3.715   299.4
2.9480          -18.327      -22.049        3.722   300.0
2.9490          -18.362      -22.036        3.673   296.0
2.9500          -18.296      -22.018        3.722   299.9
2.9510          -18.247      -21.989        3.742   301.5
2.9520          -18.423      -21.968        3.544   285.6
2.9530          -18.376      -21.953        3.577   288.3
2.9540          -18.424      -21.945        3.521   283.8
2.9550          -18.401      -21.947        3.546   285.8
2.9560          -18.273      -21.927        3.654   294.4
2.9570          -18.202      -21.885        3.683   296.8
2.9580          -18.267      -21.858        3.591   289.4
2.9590          -18.211      -21.829        3.619   291.6
2.9600          -18.305      -21.802        3.497   281.8
2.9610          -18.356      -21.783        3.426   276.1
2.9620          -18.292      -21.746        3.454   278.3
2.9630          -18.253      -21.703        3.450   278.0
2.9640          -18.219      -21.669        3.449   278.0
2.9650          -18.100      -21.643        3.543   285.5
2.9660          -18.047      -21.632        3.585   288.9
2.9670          -18.145      -21.618        3.473   279.9
2.9680          -18.185      -21.634        3.449   277.9
2.9690          -18.204      -21.659        3.456   278.5
2.9700          -18.107      -21.689        3.582   288.6
2.9710          -18.185      -21.730        3.545   285.7
2.9720          -18.101      -21.778        3.677   296.3
2.9730          -18.107      -21.841        3.734   300.9
2.9740          -18.130      -21.879        3.749   302.1
2.9750          -18.130      -21.928        3.798   306.0
2.9760          -18.158      -21.973        3.815   307.4
2.9770          -18.103      -22.012        3.909   315.0
2.9780          -18.064      -22.047        3.983   320.9
2.9790          -17.993      -22.071        4.079   328.7
2.9800          -17.978      -22.090        4.112   331.3
2.9810          -17.889      -22.090        4.201   338.5
2.9820          -17.787      -22.055        4.268   344.0
2.9830          -17.957      -21.997        4.039   325.5
2.9840          -18.032      -21.956        3.925   316.3
2.9850          -18.052      -21.888        3.836   309.1
2.9860          -18.174      -21.802        3.628   292.4
2.9870          -18.126      -21.704        3.578   288.3
2.9880          -18.184      -21.613        3.429   276.3
2.9890          -18.210      -21.549        3.338   269.0
2.9900          -18.152      -21.506        3.354   270.3
2.9910          -18.196      -21.461        3.265   263.1
2.9920          -18.188      -21.412        3.225   259.9
2.9930          -18.129      -21.367        3.239   261.0
2.9940          -18.175      -21.326        3.151   254.0
2.9950          -18.175      -21.304        3.129   252.2
2.9960          -18.176      -21.322        3.146   253.5
2.9970          -18.081      -21.331        3.250   261.9
2.9980          -17.997      -21.333        3.336   268.8
2.9990          -17.975      -21.320        3.345   269.5
3.0000          -17.902      -21.326        3.424   276.0
3.0010          -17.966      -21.333        3.366   271.3
3.0020          -18.006      -21.343        3.337   268.9
3.0030          -17.966      -21.345        3.379   272.3
3.0040          -17.983      -21.353        3.370   271.5
3.0050          -17.963      -21.358        3.395   273.6
3.0060          -17.954      -21.375        3.421   275.7
3.0070          -17.904      -21.409        3.505   282.5
3.0080          -17.864      -21.442        3.578   288.4
3.0090          -17.803      -21.478        3.675   296.1
3.0100          -17.869      -21.527        3.657   294.7
3.0110          -17.889      -21.580        3.691   297.4
3.0120          -17.929      -21.624        3.695   297.8
3.0130          -17.966      -21.665        3.699   298.1
3.0140          -17.893      -21.707        3.814   307.3
3.0150          -17.885      -21.732        3.847   310.0
3.0160          -17.850      -21.744        3.894   313.8
3.0170          -17.771      -21.738        3.967   319.7
3.0180          -17.758      -21.718        3.959   319.1
3.0190          -17.690      -21.688        3.998   322.2
3.0200          -17.565      -21.672        4.107   331.0
3.0210          -17.615      -21.652        4.037   325.4
3.0220          -17.533      -21.615        4.082   329.0
3.0230          -17.513      -21.570        4.056   326.9
3.0240          -17.556      -21.489        3.933   317.0
3.0250          -17.513      -21.406        3.893   313.7
3.0260          -17.534      -21.331        3.798   306.0
3.0270          -17.589      -21.267        3.678   296.4
3.0280          -17.611      -21.203        3.592   289.5
3.0290          -17.606      -21.162        3.556   286.6
3.0300          -17.666      -21.142        3.476   280.1
3.0310          -17.688      -21.133        3.444   277.6
3.0320          -17.669      -21.126        3.457   278.6
3.0330          -17.687      -21.138        3.450   278.1
3.0340          -17.744      -21.164        3.420   275.6
3.0350          -17.743      -21.199        3.456   278.5
3.0360          -17.741      -21.210        3.469   279.6
3.0370          -17.719      -21.229        3.509   282.8
3.0380          -17.784      -21.245        3.462   279.0
3.0390          -17.732      -21.253        3.521   283.8
3.0400          -17.696      -21.263        3.567   287.4
3.0410          -17.762      -21.256        3.494   281.5
3.0420          -17.801      -21.252        3.451   278.1
3.0430          -17.795      -21.259        3.464   279.1
3.0440          -17.765      -21.259        3.494   281.6
3.0450          -17.793      -21.253        3.461   278.9
3.0460          -17.681      -21.239        3.558   286.7
3.0470          -17.702      -21.252        3.550   286.1
3.0480          -17.763      -21.275        3.512   283.0
3.0490          -17.755      -21.303        3.549   286.0
3.0500          -17.637      -21.339        3.702   298.3
3.0510          -17.571      -21.356        3.785   305.0
3.0520          -17.685      -21.372        3.688   297.2
3.0530          -17.696      -21.385        3.689   297.3
3.0540          -17.677      -21.405        3.728   300.4
3.0550          -17.544      -21.431        3.887   313.2
3.0560          -17.503      -21.440        3.936   317.2
3.0570          -17.409      -21.448        4.040   325.5
3.0580          -17.443      -21.477        4.033   325.0
3.0590          -17.515      -21.482        3.967   319.7
3.0600          -17.500      -21.464        3.964   319.4
3.0610          -17.456      -21.431        3.974   320.3
3.0620          -17.416      -21.401        3.985   321.1
3.0630          -17.448      -21.375        3.927   316.5
3.0640          -17.341      -21.334        3.993   321.8
3.0650          -17.392      -21.289        3.897   314.1
3.0660          -17.530      -21.264        3.735   301.0
3.0670          -17.494      -21.248        3.754   302.5
3.0680          -17.550      -21.236        3.686   297.1
3.0690          -17.547      -21.257        3.709   298.9
3.0700          -17.613      -21.295        3.682   296.7
3.0710          -17.598      -21.335        3.737   301.2
3.0720          -17.601      -21.370        3.769   303.7
3.0730          -17.619      -21.395        3.776   304.3
3.0740          -17.530      -21.435        3.905   314.7
3.0750          -17.625      -21.467        3.842   309.7
3.0760          -17.632      -21.491        3.859   311.0
3.0770          -17.741      -21.507        3.766   303.5
3.0780          -17.689      -21.527        3.838   309.3
3.0790          -17.769      -21.536        3.767   303.6
3.0800          -17.720      -21.541        3.821   307.9
3.0810          -17.662      -21.538        3.876   312.3
3.0820          -17.685      -21.523        3.838   309.3
3.0830          -17.611      -21.506        3.896   313.9
3.0840          -17.582      -21.476        3.893   313.7
3.0850          -17.582      -21.446        3.864   311.4
3.0860          -17.643      -21.420        3.777   304.4
3.0870          -17.657      -21.393        3.736   301.1
3.0880          -17.672      -21.372        3.700   298.2
3.0890          -17.573      -21.365        3.792   305.6
3.0900          -17.709      -21.360        3.651   294.2
3.0910          -17.743      -21.370        3.627   292.3
3.0920          -17.754      -21.395        3.642   293.5
3.0930          -17.830      -21.449        3.619   291.7
3.0940          -17.984      -21.515        3.531   284.6
3.0950          -18.020      -21.593        3.573   288.0
3.0960          -17.984      -21.671        3.687   297.1
3.0970          -17.945      -21.740        3.795   305.8
3.0980          -17.986      -21.823        3.837   309.2
3.0990          -18.014      -21.889        3.875   312.3
3.1000          -18.020      -21.955        3.935   317.1
3.1010          -18.074      -22.009        3.935   317.1
3.1020          -18.105      -22.034        3.929   316.7
3.1030          -18.085      -22.038        3.953   318.5
3.1040          -18.161      -22.042        3.882   312.8
3.1050          -18.068      -22.014        3.945   317.9
3.1060          -18.105      -21.960        3.855   310.6
3.1070          -18.108      -21.881        3.773   304.1
3.1080          -18.179      -21.830        3.652   294.3
3.1090          -18.152      -21.783        3.630   292.6
3.1100          -18.172      -21.756        3.584   288.8
3.1110          -18.165      -21.737        3.572   287.8
3.1120          -18.180      -21.720        3.540   285.3
3.1130          -18.136      -21.705        3.569   287.6
3.1140          -18.126      -21.689        3.562   287.1
3.1150          -18.089      -21.682        3.594   289.6
3.1160          -18.097      -21.691        3.594   289.6
3.1170          -18.078      -21.709        3.631   292.6
3.1180          -18.145      -21.725        3.581   288.5
3.1190          -18.111      -21.735        3.625   292.1
3.1200          -18.114      -21.752        3.638   293.2
3.1210          -18.133      -21.759        3.627   292.2
3.1220          -18.093      -21.763        3.670   295.7
3.1230          -18.076      -21.767        3.691   297.4
3.1240          -17.976      -21.753        3.777   304.4
3.1250          -17.955      -21.745        3.789   305.4
3.1260          -17.893      -21.717        3.824   308.2
3.1270          -17.756      -21.673        3.917   315.7
3.1280          -17.711      -21.605        3.894   313.8
3.1290          -17.656      -21.558        3.902   314.5
3.1300          -17.637      -21.523        3.886   313.1
3.1310          -17.468      -21.478        4.010   323.2
3.1320          -17.419      -21.425        4.006   322.9
3.1330          -17.505      -21.392        3.887   313.2
3.1340          -17.568      -21.364        3.797   306.0
3.1350          -17.426      -21.341        3.915   315.5
3.1360          -17.457      -21.334        3.877   312.4
3.1370          -17.499      -21.361        3.862   311.3
3.1380          -17.591      -21.387        3.796   305.9
3.1390          -17.489      -21.429        3.940   317.5
3.1400          -17.496      -21.461        3.965   319.6
3.1410          -17.568      -21.489        3.921   316.0
3.1420          -17.708      -21.520        3.811   307.2
3.1430          -17.700      -21.558        3.858   310.9
3.1440          -17.627      -21.576        3.949   318.2
3.1450          -17.686      -21.582        3.897   314.0
3.1460          -17.731      -21.587        3.856   310.8
3.1470          -17.783      -21.573        3.790   305.4
3.1480          -17.710      -21.560        3.849   310.2
3.1490          -17.621      -21.543        3.923   316.1
3.1500          -17.612      -21.510        3.898   314.2
3.1510          -17.600      -21.460        3.860   311.1
3.1520          -17.635      -21.439        3.804   306.5
3.1530          -17.610      -21.432        3.822   308.0
3.1540          -17.717      -21.425        3.707   298.8
3.1550          -17.768      -21.407        3.639   293.2
3.1560          -17.785      -21.395        3.610   290.9
3.1570          -17.795      -21.399        3.604   290.4
3.1580          -17.835      -21.417        3.581   288.6
3.1590          -17.919      -21.461        3.542   285.4
3.1600          -17.892      -21.519        3.627   292.3
3.1610          -17.877      -21.577        3.700   298.2
3.1620          -17.871      -21.619        3.748   302.0
3.1630          -17.813      -21.649        3.836   309.1
3.1640          -17.870      -21.682        3.812   307.2
3.1650          -17.849      -21.722        3.873   312.1
3.1660          -17.927      -21.770        3.843   309.7
3.1670          -17.995      -21.799        3.804   306.6
3.1680          -18.020      -21.809        3.789   305.3
3.1690          -17.955      -21.816        3.861   311.1
3.1700          -17.942      -21.829        3.887   313.2
3.1710          -18.026      -21.810        3.783   304.9
3.1720          -18.006      -21.773        3.767   303.6
3.1730          -17.985      -21.745        3.760   303.0
3.1740          -17.864      -21.704        3.840   309.5
3.1750          -17.797      -21.661        3.864   311.4
3.1760          -17.806      -21.645        3.839   309.4
3.1770          -17.774      -21.634        3.861   311.1
3.1780          -17.700      -21.612        3.912   315.2
3.1790          -17.651      -21.594        3.943   317.7
3.1800          -17.670      -21.580        3.910   315.1
3.1810          -17.600      -21.581        3.981   320.8
3.1820          -17.534      -21.590        4.056   326.9
3.1830          -17.499      -21.607        4.108   331.0
3.1840          -17.294      -21.621        4.327   348.7
3.1850          -17.290      -21.629        4.339   349.7
3.1860          -17.386      -21.656        4.270   344.1
3.1870          -17.433      -21.699        4.266   343.8
3.1880          -17.455      -21.727        4.272   344.3
3.1890          -17.527      -21.753        4.226   340.6
3.1900          -17.490      -21.771        4.282   345.1
3.1910          -17.494      -21.778        4.284   345.2
3.1920          -17.510      -21.781        4.270   344.1
3.1930          -17.525      -21.777        4.252   342.6
3.1940          -17.549      -21.748        4.199   338.4
3.1950          -17.548      -21.735        4.187   337.4
3.1960          -17.500      -21.725        4.225   340.5
3.1970          -17.516      -21.675        4.159   335.2
3.1980          -17.482      -21.610        4.128   332.6
3.1990          -17.450      -21.560        4.110   331.2
3.2000          -17.339      -21.520        4.181   336.9
3.2010          -17.291      -21.490        4.199   338.4
3.2020          -17.378      -21.452        4.074   328.3
3.2030          -17.356      -21.404        4.049   326.3
3.2040          -17.379      -21.380        4.001   322.4
3.2050          -17.460      -21.369        3.909   315.0
3.2060          -17.394      -21.373        3.978   320.6
3.2070          -17.327      -21.386        4.059   327.1
3.2080          -17.360      -21.406        4.045   326.0
3.2090          -17.361      -21.418        4.057   327.0
3.2100          -17.349      -21.431        4.082   329.0
3.2110          -17.440      -21.433        3.993   321.7
3.2120          -17.355      -21.454        4.100   330.4
3.2130          -17.266      -21.492        4.226   340.6
3.2140          -17.275      -21.518        4.243   341.9
3.2150          -17.240      -21.538        4.298   346.4
3.2160          -17.221      -21.549        4.327   348.7
3.2170          -17.227      -21.571        4.344   350.1
3.2180          -17.200      -21.573        4.373   352.4
3.2190          -17.201      -21.570        4.369   352.1
3.2200          -17.135      -21.563        4.428   356.8
3.2210          -17.174      -21.569        4.396   354.2
3.2220          -17.269      -21.557        4.288   345.5
3.2230          -17.343      -21.551        4.208   339.1
3.2240          -17.336      -21.541        4.205   338.9
3.2250          -17.203      -21.530        4.327   348.7
3.2260          -17.243      -21.493        4.251   342.6
3.2270          -17.344      -21.439        4.094   330.0
3.2280          -17.366      -21.385        4.019   323.9
3.2290          -17.352      -21.349        3.997   322.1
3.2300          -17.467      -21.306        3.839   309.4
3.2310          -17.400      -21.237        3.837   309.2
3.2320          -17.382      -21.162        3.781   304.7
3.2330          -17.343      -21.106        3.763   303.3
3.2340          -17.281      -21.058        3.777   304.4
3.2350          -17.251      -21.001        3.750   302.2
3.2360          -17.163      -20.968        3.804   306.6
3.2370          -17.128      -20.957        3.828   308.5
3.2380          -17.255      -20.960        3.705   298.6
3.2390          -17.275      -20.987        3.712   299.1
3.2400          -17.331      -21.028        3.696   297.9
3.2410          -17.365      -21.089        3.725   300.2
3.2420          -17.374      -21.161        3.787   305.2
3.2430          -17.355      -21.260        3.905   314.7
3.2440          -17.365      -21.349        3.984   321.1
3.2450          -17.344      -21.432        4.088   329.4
3.2460          -17.394      -21.525        4.131   332.9
3.2470          -17.458      -21.595        4.137   333.4
3.2480          -17.451      -21.633        4.182   337.0
3.2490          -17.423      -21.651        4.229   340.8
3.2500          -17.487      -21.660        4.173   336.3
3.2510          -17.411      -21.637        4.226   340.6
3.2520          -17.484      -21.610        4.126   332.5
3.2530          -17.475      -21.569        4.094   330.0
3.2540          -17.404      -21.516        4.112   331.3
3.2550          -17.359      -21.467        4.108   331.0
3.2560          -17.360      -21.426        4.066   327.7
3.2570          -17.412      -21.371        3.959   319.0
3.2580          -17.451      -21.304        3.853   310.5
3.2590          -17.360      -21.232        3.872   312.0
3.2600          -17.442      -21.175        3.733   300.9
3.2610          -17.481      -21.123        3.642   293.5
3.2620          -17.484      -21.076        3.592   289.5
3.2630          -17.399      -21.032        3.633   292.8
3.2640          -17.357      -21.008        3.651   294.2
3.2650          -17.396      -20.994        3.597   289.9
3.2660          -17.299      -20.988        3.689   297.3
3.2670          -17.312      -20.990        3.678   296.4
3.2680          -17.278      -20.992        3.715   299.3
3.2690          -17.277      -20.993        3.716   299.4
3.2700          -17.325      -20.969        3.644   293.7
3.2710          -17.348      -20.969        3.621   291.8
3.2720          -17.285      -20.956        3.671   295.8
3.2730          -17.274      -20.947        3.674   296.0
3.2740          -17.240      -20.941        3.700   298.2
3.2750          -17.108      -20.936        3.828   308.5
3.2760          -17.174      -20.925        3.751   302.3
3.2770          -17.271      -20.913        3.642   293.5
3.2780          -17.242      -20.897        3.655   294.6
3.2790          -17.264      -20.885        3.621   291.8
3.2800          -17.202      -20.863        3.662   295.1
3.2810          -17.248      -20.840        3.592   289.5
3.2820          -17.229      -20.843        3.614   291.2
3.2830          -17.150      -20.857        3.708   298.8
3.2840          -17.199      -20.888        3.689   297.3
3.2850          -17.075      -20.924        3.849   310.2
3.2860          -17.049      -20.942        3.893   313.7
3.2870          -17.044      -20.960        3.916   315.6
3.2880          -16.957      -20.983        4.026   324.5
3.2890          -16.913      -21.033        4.120   332.0
3.2900          -16.895      -21.053        4.159   335.1
3.2910          -16.872      -21.042        4.170   336.0
3.2920          -16.852      -21.020        4.168   335.9
3.2930          -16.789      -21.014        4.225   340.5
3.2940          -16.692      -21.023        4.331   349.0
3.2950          -16.631      -21.031        4.399   354.5
3.2960          -16.662      -21.019        4.357   351.1
3.2970          -16.689      -20.997        4.308   347.2
3.2980          -16.804      -20.956        4.152   334.6
3.2990          -16.751      -20.918        4.167   335.8
3.3000          -16.793      -20.907        4.114   331.5
3.3010          -16.835      -20.904        4.069   327.9
3.3020          -16.967      -20.921        3.954   318.6
3.3030          -16.924      -20.935        4.011   323.2
3.3040          -16.988      -20.966        3.978   320.6
3.3050          -17.029      -21.004        3.976   320.4
3.3060          -17.071      -21.046        3.975   320.4
3.3070          -17.030      -21.090        4.059   327.1
3.3080          -16.866      -21.123        4.257   343.0
3.3090          -16.881      -21.154        4.273   344.4
3.3100          -17.024      -21.165        4.141   333.7
3.3110          -17.039      -21.170        4.132   333.0
3.3120          -17.037      -21.154        4.117   331.8
3.3130          -17.034      -21.141        4.107   331.0
3.3140          -16.987      -21.124        4.136   333.3
3.3150          -17.001      -21.084        4.082   329.0
3.3160          -17.031      -21.057        4.027   324.5
3.3170          -16.969      -21.027        4.058   327.0
3.3180          -16.992      -21.012        4.019   323.9
3.3190          -17.041      -21.005        3.964   319.5
3.3200          -17.012      -21.005        3.993   321.8
3.3210          -16.885      -21.007        4.122   332.2
3.3220          -16.909      -21.001        4.092   329.8
3.3230          -16.872      -20.990        4.118   331.8
3.3240          -16.880      -20.991        4.111   331.3
3.3250          -16.861      -21.020        4.159   335.1
3.3260          -17.042      -21.034        3.992   321.7
3.3270          -17.080      -21.057        3.977   320.5
3.3280          -17.118      -21.082        3.965   319.5
3.3290          -17.166      -21.082        3.916   315.6
3.3300          -17.080      -21.070        3.990   321.5
3.3310          -17.037      -21.057        4.020   324.0
3.3320          -16.957      -21.031        4.074   328.3
3.3330          -17.059      -20.998        3.940   317.5
3.3340          -17.020      -20.972        3.952   318.5
3.3350          -17.048      -20.951        3.904   314.6
3.3360          -17.100      -20.933        3.833   308.9
3.3370          -17.076      -20.943        3.867   311.6
3.3380          -17.134      -20.960        3.826   308.3
3.3390          -17.145      -20.967        3.821   308.0
3.3400          -17.248      -20.994        3.746   301.9
3.3410          -17.323      -21.027        3.704   298.5
3.3420          -17.300      -21.044        3.744   301.7
3.3430          -17.379      -21.048        3.668   295.6
3.3440          -17.351      -21.039        3.688   297.2
3.3450          -17.394      -21.027        3.633   292.8
3.3460          -17.414      -21.016        3.602   290.3
3.3470          -17.501      -21.011        3.510   282.9
3.3480          -17.427      -21.014        3.587   289.1
3.3490          -17.545      -21.017        3.471   279.7
3.3500          -17.585      -21.018        3.432   276.6
3.3510          -17.657      -21.009        3.353   270.2
3.3520          -17.736      -20.999        3.263   263.0
3.3530          -17.745      -21.008        3.263   262.9
3.3540          -17.745      -21.012        3.267   263.3
3.3550          -17.710      -21.002        3.292   265.3
3.3560          -17.743      -21.009        3.266   263.2
3.3570          -17.744      -21.042        3.298   265.8
3.3580          -17.738      -21.048        3.310   266.7
3.3590          -17.795      -21.067        3.272   263.7
3.3600          -17.885      -21.095        3.210   258.7
3.3610          -17.903      -21.113        3.210   258.7
3.3620          -17.968      -21.122        3.154   254.2
3.3630          -17.924      -21.128        3.204   258.2
3.3640          -17.903      -21.144        3.241   261.2
3.3650          -17.980      -21.176        3.196   257.6
